"species_scientific"
"Abutilon theophrasti"
"Acacia dealbata"
"Acer buergerianum"
"Acer glabrum"
"Acer negundo"
"Acer platanoides"
"Acer saccharinum"
"Achillea millefolium"
"Achnatherum occidentale"
"Achyrachaena mollis"
"Acmispon americanus"
"Acmispon argophyllus"
"Acmispon denticulatus"
"Acmispon glaber"
"Acmispon grandiflorus"
"Acmispon parviflorus"
"Acmispon prostratus"
"Acmispon strigosus"
"Acmispon subpinnatus"
"Acmispon wrangelianus"
"Acorus gramineus"
"Acroptilon repens"
"Adenostoma fasciculatum"
"Adiantum jordanii"
"Aegilops triuncialis"
"Aeschynomene indica"
"Aesculus californica"
"Agnorhiza bolanderi"
"Agnorhiza reticulata"
"Agoseris grandiflora"
"Agoseris heterophylla"
"Agoseris retrorsa"
"Agrostis avenacea"
"Agrostis capillaris"
"Agrostis elliottiana"
"Agrostis exarata"
"Agrostis gigantea"
"Agrostis microphylla"
"Agrostis pallens"
"Agrostis stolonifera"
"Ailanthus altissima"
"Aira caryophyllea"
"Ajuga reptans"
"Alisma plantago"
"Alisma triviale"
"Allium ampeloprasum"
"Allium amplectens"
"Allium campanulatum"
"Allium chinense"
"Allium hyalinum"
"Allium neapolitanum"
"Allium peninsulare"
"Allium triquetrum"
"Allophyllum integrifolium"
"Alnus rhombifolia"
"Alopecurus carolinianus"
"Alopecurus saccatus"
"Alternanthera ficoidea"
"Amaranthus albus"
"Amaranthus arenicola"
"Amaranthus californicus"
"Amaranthus cruentus"
"Amaranthus hybridus"
"Amaranthus palmeri"
"Amaranthus powellii"
"Amaranthus retroflexus"
"Amaranthus tuberculatus"
"Ambrosia psilostachya"
"Amelichloa caudata"
"Ammannia coccinea"
"Ammannia robusta"
"Ammi visnaga"
"Ammophila arenaria"
"Amphibromus neesii"
"Amsinckia eastwoodiae"
"Amsinckia intermedia"
"Amsinckia lycopsoides"
"Amsinckia menziesii"
"Amsinckia parviflora"
"Amsinckia retrorsa"
"Anacolia menziesii"
"Anagallis arvensis"
"Anagallis minima"
"Anagallis monelli"
"Anchusa azurea"
"Anchusa officinalis"
"Andropogon virginicus"
"Anemopsis californica"
"Anisodontea capensis"
"Anredera cordifolia"
"Anthemis cotula"
"Anthoceros fusiformis"
"Anthoxanthum odoratum"
"Anthriscus caucalis"
"Antitrichia californica"
"Aphanes macrosepala"
"Apocynum cannabinum"
"Aquilegia formosa"
"Arabidopsis thaliana"
"Arabis laevigata"
"Araucaria bidwillii"
"Arceuthobium campylopodum"
"Arctostaphylos glauca"
"Arctostaphylos manzanita"
"Arctostaphylos tomentosa"
"Arctostaphylos viscida"
"Arctotheca calendula"
"Aristida oligantha"
"Aristolochia californica"
"Aristolochia fimbriata"
"Aristolochia labiata"
"Artemisia biennis"
"Artemisia douglasiana"
"Artemisia dracunculus"
"Artemisia lactiflora"
"Artemisia tridentata"
"Arum italicum"
"Arundo donax"
"Asarum canadense"
"Asarum hartwegii"
"Asclepias cordifolia"
"Asclepias fascicularis"
"Asclepias speciosa"
"Asclepias tuberosa"
"Asclepias vestita"
"Asparagus officinalis"
"Aspidotis californica"
"Aspidotis densa"
"Astragalus gambellianus"
