"family_scientific","family_common"
"Araucariaceae","Monkey-puzzle"
"Cupressaceae","Cypress"
"Pinaceae","Pine"
"Podocarpaceae","Podocarp"
"Sciadopityaceae","Umbrella pine"
"Taxaceae","Yew"
"Cycadaceae","Cycad"
"Ginkgoaceae","Maidenhair"
"Aceraceae","Maple"
"Agavaceae","Agave"
"Anacardiaceae","Cashew"
"Annonaceae","Custard apple"
"Apocynaceae","Dogbane"
"Aquifoliaceae","Holly"
"Araliaceae","Ginseng"
"Arecaceae","Palm"
"Asphodelaceae","Asphodel"
"Asteraceae","Sunflower"
"Berberidaceae","Barberry"
"Betulaceae","Birch"
"Bignoniaceae","Trumpet creeper"
"Bombacaceae","Bombax"
"Boraginaceae","Borage"
"Burseraceae","Bursera"
"Buxaceae","Box"
"Canellaceae","Wild cinnamon"
"Cannabaceae","Hemp"
"Capparidaceae","Caper"
"Caprifoliaceae","Honeysuckle"
"Caricaceae","Papaya"
"Casuarinaceae","Casuarina"
"Celastraceae","Bittersweet"
"Cercidiphyllaceae","Katsura"
"Chrysobalanaceae","Coco plum"
"Clusiaceae","St. John's wort"
"Combretaceae","Combretum"
"Cornaceae","Dogwood"
"Cyrillaceae","Titi"
"Davidsoniaceae","Davidson's plum"
"Ebenaceae","Ebony"
"Elaeagnaceae","Oleaster"
"Ericaceae","Heath"
"Euphorbiaceae","Spurge"
"Fabaceae","Legume"
"Fagaceae","Beech"
"Grossulariaceae","Gooseberry"
"Hamamelidaceae","Witch hazel"
"Hippocastanaceae","Buckeye"
"Illiciaceae","Anise-tree"
"Juglandaceae","Walnut"
"Lauraceae","Laurel"
"Lecythidaceae","Lecythis"
"Lythraceae","Loosestrife"
"Magnoliaceae","Magnolia"
"Malpighiaceae","Malpighia"
"Malvaceae","Mallow"
"Melastomataceae","Melastome"
"Meliaceae","Mahogany"
"Moraceae","Mulberry"
"Moringaceae","Moringa"
"Muntingiaceae","Strawberry-tree"
"Myoporaceae","Myoporum"
"Myricaceae","Bayberry"
"Myrsinaceae","Myrsine"
"Myrtaceae","Myrtle"
"Nothofagaceae","Southern beech"
"Nyctaginaceae","Four o'clock"
"Nyssaceae","Sourgum"
"Olacaceae","Olax"
"Oleaceae","Olive"
"Oxalidaceae","Wood sorrel"
"Pandanaceae","Screwpine"
"Papaveraceae","Poppy"
"Phyllanthaceae","Gooseberry tree"
"Pittosporaceae","Pittosporum"
"Platanaceae","Sycamore"
"Poaceae","Grass"
"Polygonaceae","Knotweed"
"Proteaceae","Protea"
"Punicaceae","Pomegranate"
"Rhamnaceae","Buckthorn"
"Rhizophoraceae","Mangrove"
"Rosaceae","Rose"
"Rubiaceae","Madder"
"Rutaceae","Citrus"
"Salicaceae","Willow"
"Sapindaceae","Soapberry"
"Sapotaceae","Sapodilla"
"Simaroubaceae","Quassia"
"Solanaceae","Nightshade"
"Staphyleaceae","Bladdernut"
"Sterculiaceae","Sterculia"
"Strelitziaceae","Bird-of-paradise"
"Styracaceae","Storax"
"Surianaceae","Bay cedar"
"Symplocaceae","Sweetleaf"
"Tamaricaceae","Tamarisk"
"Theaceae","Tea"
"Theophrastaceae","Theophrasta"
"Thymelaeaceae","Mezereum"
"Tiliaceae","Basswood"
"Ulmaceae","Elm"
"Verbenaceae","Verbena"
