"genus_scientific","genus_common"
"Agathis","Kauri conifers"
"Araucaria","Monkey-puzzle"
"Athrotaxis","Tasmanian cedars"
"Callitris","Cypress-pines"
"Calocedrus","Incense cedars"
"Chamaecyparis","False cypresses"
"Cryptomeria","Oriental cedars"
"Cunninghamia","Cunninghamia"
"Cupressus","True cypresses"
"Glyptostrobus","Oriental swamp cypresses"
"Juniperus","Juniper"
"Metasequoia","Dwarf redwoods"
"Sequoia","True redwoods"
"Sequoiadendron","Sequoiadendrons"
"Taiwania","Taiwania"
"Taxodium","Bald or swamp cypresses"
"Thuja","Arborvitae"
"Abies","Fir"
"Cedrus","True cedars"
"Larix","Larches"
"Picea","Spruces"
"Pinus","Pines"
"Pseudotsuga","Douglas firs"
"Tsuga","Hemlocks"
"Afrocarpus","African podocarps"
"Dacrycarpus",NA
"Dacrydium",NA
"Podocarpus","Australasian podocarps"
"Sciadopitys","Sciadopitys"
"Taxus","Yew"
"Torreya","Torreyas"
"Cycas","Cycadian"
"Encephalartos","Bread"
"Ginkgo","Ginkgos or maidenhair"
"Acer","Maples"
"Cordyline","Cordyline"
"Furcraea","Furcraea"
"Nolina","Nolina"
"Yucca","Yuccas"
"Anacardium","Cashews"
"Cotinus","Smoke"
"Harpephyllum","Harpephyllum plum"
"Mangifera","Mangos"
"Metopium","Poisonwoods"
"Pistacia","Pistachios and terebinth"
"Rhus","Sumacs"
"Schinus","Pepper"
"Spondias","Mombins"
"Toxicodendron","Poison sumacs (including poison ivy and poison oak)"
"Annona","Custard apples"
"Asimina","Pawpaws"
"Cascabela","Yellow oleanders"
"Nerium","Oleander"
"Plumeria","Frangipani"
"Ilex","Holly"
"Nemopanthus","False holly"
"Aralia","Aralias"
"Cussonia","Cussonia"
"Didymopanax","Didymopanax"
"Meryta","Meryta"
"Heptapleurum","Heptapleurum"
"Acoelorrhaphe","Acoelorrhaphe palm"
"Archontophoenix","Archontophoenix palm"
"Arenga","Arenga palm"
"Bactris","Bactris palm"
"Bismarckia","Bismarckia palm"
"Brahea","Brahea palm"
"Butia","Pindo palm"
"Caryota","Caryota palm"
"Chamaerops","Chamaerops palm"
"Cocos","Cocos palm"
"Dypsis","Dypsis palm"
"Howea","Howea palm"
"Hyophorbe","Hyophorbe palm"
"Jubaea","Jubaea palm"
"Livistona","Livistona palm"
"Lodoicea","Lodoicea palm"
"Phoenix","Date palms"
"Phytelephas","Ivory palms"
"Raphia","Raphia palm"
"Ravenea","Ravenea palm"
"Rhapis","Rhapis palm"
"Rhopalostylis","Rhopalostylis palm"
"Roystonea","Royal palms"
"Sabal","Sabal palms"
"Serenoa","Serenoa palm"
"Syagrus","Syagrus palm"
"Trachycarpus","Fan palm"
"Washingtonia","Washingtonia palm"
"Wodyetia","Wodyetia palm"
"Aloidendron","Tree-aloes"
"Baccharis",NA
"Brachylaena",NA
"Lepidaploa",NA
"Montanoa",NA
"Telanthophora",NA
"Alnus","Alders"
"Betula","Birches"
"Carpinus","Hornbeams"
"Corylus","Hazels"
"Ostrya","False hornbeams"
"Amphitecna","Calabash"
"Catalpa","Catalpa"
"Handroanthus",NA
